


User 5%, System 5%, IOW 0%, IRQ 0%
User 16 + Nice 0 + Sys 18 + Idle 273 + IOW 0 + IRQ 0 + SIRQ 0 = 307

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
11890  0   5% R     1   2648K    948K     shell    top
  378  1   0% S     1      0K      0K     root     IPCRTR
  379  1   0% S     1      0K      0K     root     adsp_IPCRTR
  381  1   0% S     1      0K      0K     root     msm_slim_qmi_cl
  382  1   0% S     1      0K      0K     root     qmi_hndl0000000
  383  0   0% S     1      0K      0K     root     irq/431-wcd9xxx
  384  0   0% D     1      0K      0K     root     kworker/u8:5
  388  1   0% S     1      0K      0K     root     sec_jack_wq
  389  1   0% S     1      0K      0K     root     sec_jack_button
  390  0   0% S     1   1440K    144K  fg root     /sbin/healthd
  391  0   0% S     1   1016K    300K     system   /system/bin/servicemanager
  392  0   0% S     5  30992K    932K     root     /system/bin/vold
  395  1   0% S     2   2200K    276K     system   /system/bin/rfs_access
  398  0   0% S     1   3736K    304K     system   /system/bin/qseecomd
  400  0   0% S     1    920K    112K     system   /system/bin/sh
  404  0   0% S     1   2292K    416K     system   /system/bin/edmaudit
  405  0   0% S     8  10812K    796K     root     /system/bin/netd
  407  0   0% S     1   2288K    300K     root     /system/bin/debuggerd
  411  3   0% S    14  25700K   1780K     radio    /system/bin/rild
  412  0   0% S     4   4072K    156K     system   /system/bin/ddexe
  414  0   0% S     1   3036K    488K     system   /system/bin/connfwexe
  416  0   0% S     6   7056K    140K     system   /system/bin/ss_conn_daemon
  417  1   0% S     1   2024K    112K     radio    /system/bin/diag_uart_log
  418  3   0% S    14 160608K   3608K  fg system   /system/bin/surfaceflinger
  419  0   0% S     4 901580K  17308K     root     zygote
  420  2   0% S     3  18868K    964K  fg drm      /system/bin/drmserver
  422  1   0% S     2  11364K    476K  fg jack     /system/bin/apaservice
  423  2   0% S     2  10684K    524K  fg jack     /system/bin/jackservice
  424  2   0% S     1   2344K    776K     install  /system/bin/installd
  425  1   0% S     1   4156K    764K  fg keystore /system/bin/keystore
  426  0   0% S     1   1380K    232K     system   /system/bin/drsd
  427  3   0% S     3   5464K    588K  fg system   /system/bin/sensorhubservice
  428  0   0% S     3   4624K    320K     system   /system/bin/npsmobex
  432  0   0% S     1    936K    260K     system   /system/bin/qrngd
  433  0   0% S    37  39852K    300K     root     /system/bin/thermal-engine
  435  3   0% S     2   1948K     80K     media    /system/bin/adsprpcd
  436  2   0% S    16  54804K   1328K     camera   /system/bin/mm-qcamera-daemon
  437  3   0% S     3  12000K    612K  fg system   /system/bin/bintvoutservice
  453  3   0% S     2   1980K    272K     vibe     /system/bin/immvibed
  455  2   0% S     1      0K      0K     root     irq/612-es705-i
  531  0   0% S     7  10008K    100K     system   /system/bin/qseecomd
  578  0   0% S     2   3516K    336K  fg jack     androidshmservice
  587  0   0% S     2   2124K    108K     root     /system/bin/mdm_helper
  588  0   0% S     3   5128K    624K     radio    /system/bin/qmuxd
  604  0   0% S     2   5164K    672K     radio    /system/bin/at_distributor
  611  3   0% S     5   6564K    264K     system   /system/bin/time_daemon
  613  2   0% S     1    928K    116K     system   /system/bin/gpu_snapshotd
  614  3   0% S     1   1200K    244K     system   /system/bin/nqs
  615  0   0% S     7  12484K   1312K     system   /system/bin/vcsFPService
  618  0   0% S     1   2480K    392K     system   /system/bin/cs
  620  0   0% S     1   8704K   2572K     system   /system/bin/secure_storage_daemon
  622  0   0% S     1      0K      0K     root     pkgld
  625  0   0% S     2   2124K     96K     root     /system/bin/mdm_helper_proxy
  693  1   0% D     1      0K      0K     root     mdss_fb0
  847  1   0% S     1      0K      0K     root     kworker/1:0
 1065  2   0% S     1      0K      0K     root     kworker/2:2
 1078  3   0% S     2   5784K    340K  fg system   /system/bin/tlc_server
 1079  2   0% S     2   5784K    332K  fg system   /system/bin/tlc_server
 1090  3   0% S     7   7424K    208K     system   /system/bin/mcDriverDaemon
 1091  1   0% S     1      0K      0K     root     mc_log
 1099  0   0% S     1      0K      0K     root     MHI_EV_THREAD
 1100  0   0% S     1      0K      0K     root     MHI_STATE_THREA
 1105  0   0% S     1      0K      0K     root     irq/61-mxhci_hs
 1106  1   0% S     1      0K      0K     root     mxhci_wq
 1118  1   0% S     1      0K      0K     root     ipc_bridge
 1119  1   0% S     1      0K      0K     root     external-modem_
 1126  0   0% S     1   4184K   1076K     root     /system/bin/ks
 1224  3   0% S     1      0K      0K     root     kworker/3:2
 1274  3   0% S     1      0K      0K     root     VosWDThread
 1403  0   0% S     1   6252K   1100K     wifi     /system/bin/wpa_supplicant
 1429  2   0% S    15 918800K  18116K  fg nfc      com.android.nfc
 1444  0   0% S    32 1061084K  58812K  bg u0_a9    com.sec.android.app.launcher
 1535  1   0% S    11 911600K  13100K  fg smartcar org.simalliance.openmobileapi.service:remote
 1596  0   0% S    27 952860K  28700K  bg u0_a61   com.google.android.googlequicksearchbox:search
 1608  1   0% S   191 1162164K  46120K  fg u0_a13   com.google.process.gapps
 1623  0   0% S    14 916516K  17324K  fg u0_a21   com.sec.android.provider.logsprovider
 1640  3   0% S    21 932748K  27220K  fg u0_a21   android.process.acore
 1823  0   0% S     1   2236K    348K     audit    /system/bin/auditd
 1836  0   0% S     1      0K      0K     root     kauditd
 1885  0   0% S     1      0K      0K     root     irq/33-cpubw_hw
 2589  3   0% S    17 925360K  24308K  bg u0_a17   com.sec.android.service.health
 3689  0   0% S    15 935892K  31888K  bg u0_a47   android.process.media
 4011  0   0% S     9 909364K  13500K  fg system   com.sec.android.service.bezel
 4064  0   0% S    28 1049580K  61724K  fg system   com.sec.android.inputmethod
 4336  0   0% S    39 958316K  20076K  fg u0_a181  tv.peel.smartremote
 4623  0   0% S     1      0K      0K     root     kworker/0:1H
